Timestamp,What_is_your_program,Are_you_an_international_student,Previous_Year_Housing,Upcoming_Year_Housing,"What_is_your_monthly_cost_on_utilities_(gas/electric/water/trash/internet/laundry_services/renter's_insurance,_etc.)",Do_you_consider_your_neighborhood_to_be_a_safe_environment_Elaborate_on_your_point.,"If_you_answered_""No""_in_the_previous_question,_considering_the_perceived_level_of_safety_in_your_current_neighborhood,_what_would_be_the_expected_monthly_rental_cost_of_an_apartment_in_a_location_deemed_secure","On_average,_how_much_time_do_you_spend_one-way_commuting_on_a_daily_basis_Please_specify_walk,_drive,_and/or_public_transportation.","What_is_your_average_monthly_cost_to_commute_to_work_Please_include_gas,_Metro_bus,_and/or_taxi/Uber_prices.","What_is_your_average_yearly_expenditure_incurred_for_travel_to_your_home_or_for_vacation_purposes_Please_include_gas,_Metro_bus,_taxi/Uber,_and/or_airfare_prices).","If_you_own_a_car,_what_is_your_average_yearly_cost_for_car_maintenance/car_payments/car_insurance/parking_passes",What_is_your_average_monthly_(not_weekly)_expenditure_on_groceries_and_dining_out,What_is_your_average_monthly_expense_for_health-associated_costs_(medications/copays/procedures/etc.),"For_pet_owners,_what_is_the_average_monthly_expenditure_on_pet-related_costs","If_applicable,_approximately_how_much_do_you_spend_on_average_per_month_to_support_dependents_(children,_elderly_parents,_etc.)","If_applicable,_what_are_your_average_miscellaneous_expenses_per_year_that_are_essential_but_were_not_mentioned_in_the_above_categories_(e.g._Clothing_etc.)_Please_list_each_expense_category_in_your_answer.","In_the_past_12_months,_which_of_the_following_trade-offs_have_you_made_to_meet_living_expenses_(Select_all_that_apply.)"
2025/08/21 7:09:47 AM AST,Environmental and Industrial Hygeine,Yes,700.0,800.0,220.0,Not that safe. it has a dead-end road with reserved forest landmark and incidence of robbery.,1200,Public transport,$200,"$3,000",,1400.0,$160 ,,$900,"$3000 (Clothing-1,200; toiletries-$600; supplements-400; room furnishings- 800)","Chose a lower-cost apartment despite safety/quality concerns;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time;Used credit cards/loans or sold belongings to cover essentials"
2025/08/21 4:10:18 PM AST,"Molecular, Cellular and Biochemical Pharmacology",No,850.0,,100.0,Yes but I have had to move 3+ times within a year and a half to achieve this. Even so it is still slightly questionable but it is doable.,,Drive about 20min,130,1500,1000,300.0,100,,,"Clothing - 400 
School used subscriptions- 50","Chose a lower-cost apartment despite safety/quality concerns;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/08/22 8:41:40 AM AST,Genetic Counseling,No,649.0,1085.0,150.0,"Somewhat, my car was broken into",1200,30 minutes,$30,1000,2000,600.0,20,40,0,,"Chose a lower-cost apartment despite safety/quality concerns;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Reduced transportation costs in ways that increased commute time;Used credit cards/loans or sold belongings to cover essentials"
2025/08/22 8:55:49 AM AST,Genetic Counseling,No,,,160.0,"Yes, it’s a clean quiet and family-friendly neighborhood",,To drive I spend about $1 on gas each way,About $60 on gas,For gas to drive home I spend about $200 a year,,350.0,N/A (parents insurance),,,"Activities (football tickets, museums, concerts, etc): ~$500",Lived farther from campus to reduce housing/parking costs;Chose a lower-cost apartment despite safety/quality concerns
2025/08/22 9:47:23 AM AST,Molecular and Developmental Biology,No,,,190.0,"I consider my neighborhood somewhat safe. From a financial perspective, I am paying more in rent than I ideally should, but I made this choice because I felt unsafe while touring apartments closer to the medical campus and hospital. As a woman who sometimes heads to the lab late in the evening, I needed a place where I could come and go without major concerns. While I still would not feel entirely comfortable running outside from my apartment as I would like to, it is much better than other options within a budget that aligns more closely with my stipend. One of my classmates and friends lives with three other people in a basement apartment and pays half of what I pay in rent. However, she regularly hears gunshots at night and was recently kept awake all night after being woken by people yelling “on your knees!” along with loud commotion outside. I am making other daily sacrifices to accommodate safe living within the limits of my stipend.","1,500",20 minutes driving,160,"Home 1,200","4,980",250.0,"Usually $50, however, earlier this year I had a dental procedure that costs me $1,550. I used my savings from a previous job in college to pay for it. ",,,"Clothing 1,000","Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/08/22 10:26:30 AM AST,Molecular and Developmental Biology,No,,,172.0,Yes. Recently developed area of East Walnut Hills.,,5 min drive,$5,600,850,450.0,27,,0,,None of the above
2025/08/23 11:11:26 AM AST,Environmental and Industrial Hygeine,No,,1535.0,300.0,yes,,30 minutes drive,100.00,2000.00,1500.00,0.0,50.00,,200.00,2000.00,"Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials;Other"
2025/08/24 2:47:42 PM AST,Immunology,Yes,650.0,800.0,250.0,"Yes, its pretty safe",,"$0, public transportation sometimes, Uber other timeshare ",Taxi = $50,Airfare $1500,,600.0,Covered under SHI,,,Clothing and other =$200,Lived farther from campus to reduce housing/parking costs;Chose a lower-cost apartment despite safety/quality concerns;Reduced transportation costs in ways that increased commute time
2025/08/27 10:22:57 AM AST,Molecular and Developmental Biology,No,,,200.0,"Yes. I moved to Fort thomas Kentucky due to safety concerns, which is also why I pay more in rent than what a graduate student typically would",$1400-1600 for a one bedroom ,15 minute drive,gas = about 60 dollars a month,I do not vacation (sad),"I bought a cheap car so no monthly payments but for oil changes, new tires or whatever else is needed maybe about $400/year",,$50 (i have three prescriptions that I have to refill monthy),$100,$0 ,"Clothes = $400
Glasses = $60 (remaining after an allowance to cover blue light or other lens filters)
Movie/shows/plays/concerts = $200
Museum/aquarium visits = $100

","Chose a lower-cost apartment despite safety/quality concerns;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/08/27 12:37:51 PM AST,"Molecular, Cellular and Biochemical Pharmacology",Yes,1095.0,1165.0,250.0,"Yes, I just moved to a new neighborhood, and so far it is a safe environment ",,25 min drive,60,500,5630,500.0,100,,,Clothing 400,"Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/08/27 3:07:43 PM AST,Molecular and Developmental Biology,No,900.0,1000.0,350.0,Yes. Gated community building,,Drive 5x a week,70,500,800,300.0,150,,,300,"Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/08/27 3:10:24 PM AST,Pathobiology and Molecular Medicine,No,1584.0,1584.0,175.0,yes,,25 minute drive,$175,$2400,$2000,600.0,$50,,$1300,,"Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/08/27 3:11:43 PM AST,Other,No,800.0,800.0,300.0,"Yes. I do not live near campus though, I live in KY",,Drive about 45 minutes,125,,"6870: 4320 car payment, 1050 insurance, 300 oil changes, 1200 parking in Eden garage (each is 12 month cost)",600.0,300,100,,1500,"Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/08/27 3:12:51 PM AST,"Molecular, Cellular and Biochemical Pharmacology",No,653.0,653.0,350.0,"Yes, close to local police & fire station",,30 minutes drive,100,1000,7000,500.0,500,,1325,200 clothes,"Took on additional roommates/shared a room to lower rent;Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/08/27 3:23:12 PM AST,Molecular and Developmental Biology,Yes,,,100.0,"Yes. I stay in Ludlow- a calm, student friendly neighborhood. Besides this we also do have quick access to banks, pharmacy and couple of restaurants.",,"Last year, the UC campus did provide shuttles till the Medcampus which made the daily commuting convenient. However, since this fall, UC had stopped the direct shuttles from Ludlow to UC med campus. This leaves us with no option but taking the connecting shuttles from UC main campus.",None for UC shuttle,$2000-$2500,,,$50-$100,,,"Clothing-~$250
Apartment set up (chairs, bed frame, utensils)-`$800-$900",Took on additional roommates/shared a room to lower rent
2025/08/27 3:37:17 PM AST,Pathobiology and Molecular Medicine,No,1350.0,1450.0,160.0,yes and no I live in east walnut hills it is safe in certain parts of the neighborhood but not in others. ,850,10 minutes driving,40$ on gas a month,1000-3000$,2000,180.0,100,,,"Clothing 500, Home maintenance 500, ","Chose a lower-cost apartment despite safety/quality concerns;Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/08/27 4:48:54 PM AST,Systems Biology and Physiology,Yes,,,100.0,A little bit. There are more shooting cases few streets from my neighborhood and it is closer to downtown ,,5 minutes drive ,$100,$300,,50.0,$100,,,"Clothing $150
",Lived farther from campus to reduce housing/parking costs;Chose a lower-cost apartment despite safety/quality concerns;Used credit cards/loans or sold belongings to cover essentials
2025/08/27 4:56:19 PM AST,Epidemiology,Yes,,,200.0,Yes. I stay in the Clifton Gaslight district which is pretty safe,,45 minutes by campus shuttle ,$20,$2000,,200.0,0,,200,"Student Loan - $9600
Clothes - $300","Took on additional roommates/shared a room to lower rent;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Reduced transportation costs in ways that increased commute time;Used credit cards/loans or sold belongings to cover essentials"
2025/08/27 8:43:09 PM AST,Biomedical Informatics/Biostats,No,,,125.0,"Yes, it is in a residential area.",,25 minutes,$50,$1000,,400.0,$80,,,$500,Used credit cards/loans or sold belongings to cover essentials
2025/08/28 8:15:46 AM AST,Environmental and Industrial Hygeine,Yes,1000.0,1000.0,190.0,Relatively safe. A few shooting instances here and there.,1300,4,80,3000,4000,300.0,120,0,500,500,"Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/08/28 12:57:44 PM AST,Neuroscience,No,,,150.0,yes,,20 min drive,$35,$600,$600,200.0,0,$30,0,0,None of the above
2025/08/28 1:30:07 PM AST,"Molecular, Cellular and Biochemical Pharmacology",No,500.0,500.0,250.0,Yes,,35 minutes,160,,1100,650.0,30,,,,"Lived farther from campus to reduce housing/parking costs;Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Used credit cards/loans or sold belongings to cover essentials"
2025/08/28 4:23:55 PM AST,Systems Biology and Physiology,No,1175.0,1200.0,220.0,"Yes, my neighborhood (Hyde Park) is safe. Many people walk their dogs outside, even late at night or early in the morning. I've even had a wallet returned to my house without any cash taken out of it.",Not applicable,"Driving takes about 15 minutes, give or take traffic.",110 for gas,500-600 per year.,3000,,"Usually 0, dental is too expensive to maintain.",350,Not applicable,Debt repayment: 2400,Delayed medical/dental care or prescriptions due to cost
2025/08/29 11:54:20 AM AST,Biomedical Informatics/Biostats,No,965.0,985.0,150.0,yes,,"20 mins, walking or bus",0,100,1500,350.0,25,,,,Reduced transportation costs in ways that increased commute time;Used credit cards/loans or sold belongings to cover essentials
2025/08/30 1:40:28 PM AST,Neuroscience,No,1440.0,1500.0,200.0,"Yes, higher rent is because I paid for a nicer complex and area to feel safe as compared to my previous place where I did not",,15-25 minutes ,45,4000,1000,400.0,0,,,2000,"Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals)"
2025/09/02 8:26:24 AM AST,Cancer and Cell Biology,No,1350.0,1450.0,300.0,Yes. I live in Harrison and there’s not a lot of people out here. ,,45 minutes ,100,2000,4000,150.0,125,82,,500 on clothing. ,"Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time"
2025/09/02 8:30:03 AM AST,"Molecular Genetics, Biochemistry and Microbiology",No,935.0,950.0,130.0,"yes, but walking outside it is unsafe",,15,50,250,2350,175.0,75,,,idk,None of the above
2025/09/02 8:42:39 AM AST,Systems Biology and Physiology,Yes,,,200.0,Yes,,12mins drive,$100,$500,$2500,700.0,$100,,,$500,"Lived farther from campus to reduce housing/parking costs;Took on additional roommates/shared a room to lower rent;Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Used credit cards/loans or sold belongings to cover essentials"
2025/09/02 9:26:18 AM AST,Molecular and Developmental Biology,Yes,1523.0,1595.0,100.0,Yes,,,100,2000,,250.0,40,,1000,500,Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time;Used credit cards/loans or sold belongings to cover essentials
2025/09/02 10:24:01 AM AST,"Molecular, Cellular and Biochemical Pharmacology",No,1540.0,1540.0,250.0,"Yes and no; my building is locked via app and requires a code to enter, so it's very secure. It has to be that secure though because two streets down is a common area for shootings and stabbings.",1700,Public transportation or UC shuttle - 30 to 45min,20 bucks or less since UC made the bus free,1500 - 2000,,250.0,200,,,Clothing --> 100 - 200,"Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Reduced transportation costs in ways that increased commute time;Used credit cards/loans or sold belongings to cover essentials"
2025/09/02 10:30:56 AM AST,Molecular and Developmental Biology,No,,,135.0,"yes, Clifton area is relatively safe",,15 minutes drive if traffic,40,"4,000",500,200.0,20,75,,100,"Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/09/02 10:48:24 AM AST,Cancer and Cell Biology,No,1650.0,1360.0,100.0,yes,,10 minutes,100,around 1000,600,100.0,50,0,0,500,"Took on additional roommates/shared a room to lower rent;Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials;Other"
2025/09/02 10:53:16 AM AST,"Molecular, Cellular and Biochemical Pharmacology",No,,,400.0,Yes,,25 minutes,$70,$840,$300,250.0,$0,,,$0,"Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/09/02 11:02:45 AM AST,Pathobiology and Molecular Medicine,Yes,800.0,850.0,100.0,Yes,,30 mins (walk + UC shuttle). UC shuttle stops have been removed after Ludlow ave for college of medicine. That has increased the walking distance.,Metro bus + UC shuttle (no cost),1600-1800USD to travel home,,,20USD,,,250-300USD(clothing +house essentials),Lived farther from campus to reduce housing/parking costs
2025/09/02 11:06:35 AM AST,Neuroscience,No,1900.0,1900.0,130.0,It is. ,,Approximately 16 minutes ,23 ,Around 400 ,"12,000",250.0,0,,,,None of the above
